127.0.0.1, 2021-02-18 21:57:22, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.367148
127.0.0.1, 2021-02-18 21:57:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.435887
127.0.0.1, 2021-02-18 21:57:22, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.153701
127.0.0.1, 2021-02-18 21:57:23, GET, /bmenn/appadmin/hooks, HTTP/1.1, 200, 1.605233
127.0.0.1, 2021-02-18 21:57:26, GET, /admin/default/design/bmenn, HTTP/1.1, 200, 1.367596
127.0.0.1, 2021-02-18 21:57:27, GET, /favicon.ico, HTTP/1.1, 400, 0.003239
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/basics/helloworld, HTTP/1.1, 200, 0.501252
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.021206
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/js/jquery.js, HTTP/1.1, 304, 0.016844
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/js/calendar.js, HTTP/1.1, 304, 0.008039
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.006125
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/css/calendar.css, HTTP/1.1, 304, 0.010377
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/js/web2py.js, HTTP/1.1, 304, 0.006294
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/css/web2py-bootstrap4.css, HTTP/1.1, 304, 0.024374
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/js/web2py-bootstrap4.js, HTTP/1.1, 304, 0.006378
127.0.0.1, 2021-02-18 21:57:29, GET, /bmenn/static/js/bootstrap.bundle.min.js, HTTP/1.1, 304, 0.010399
127.0.0.1, 2021-02-18 21:57:33, GET, /admin/default/design/bmenn, HTTP/1.1, 200, 1.573084
127.0.0.1, 2021-02-18 21:57:33, GET, /favicon.ico, HTTP/1.1, 400, 0.001995
127.0.0.1, 2021-02-18 21:57:39, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.306098
127.0.0.1, 2021-02-18 21:57:40, GET, /favicon.ico, HTTP/1.1, 400, 0.002736
127.0.0.1, 2021-02-18 21:57:40, GET, /admin/default/edit/bmenn/views/basics/helloworld.html, HTTP/1.1, 200, 0.406283
127.0.0.1, 2021-02-18 21:57:40, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.501617
127.0.0.1, 2021-02-18 21:57:40, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.751545
127.0.0.1, 2021-02-18 21:57:40, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.760320
